  23 | 7 | 1 | CFG_VERSION | 0x0A | Indicates the version of the user config structure. | 
 111 | 58 | 1 | CFG_ZONE_TURNON_LEVEL |  | Range (1..100) %,  default:100 | 
 112 |  |  |  |  | Not in Zone 5. | 
 113 | Zone 2 |  |  |  |  | 
 114 | 59 | 1 | CFG_ZONE_COMMON_FUNC1 |  |  | 
 115 | 60 | 1 | CFG_ZONE_ONOFF_FUNC2 |  | See decription for Zone 1 | 
 116 | 61 | 1 | CFG_ZONE_DALI_FUNC1 |  |  | 
 117 | 62 | 2 | CFG_ZONE_T_OFFPIR_DELAY |  |  | 
 118 | 64 | 2 | CFG_ZONE_T_PRESENCE_DELAY |  |  | 
 119 | 66 | 2 | CFG_ZONE_T_NON_PRESENCE_DELAY |  |  | 
 120 | 68 | 2 | CFG_ZONE_T_ORIENTATION_DELAY |  |  | 
 121 | 70 | 2 | CFG_ZONE_T_ON_DELAY |  |  | 
 122 | 72 | 1 | CFG_ZONE_TYPE |  |  | 
 123 | 73 | 1 | CFG_ZONE_RESERVED |  |  | 
 124 | 74 | 2 | CFG_ZONE_DESKDAYLIGHTFACTORPCT |  |  | 
 125 | 76 | 2 | CFG_ZONE_DESKMAXARTIFICIALLIGHT |  |  | 
 126 | 78 | 2 | CFG_ZONE_V_SETPOINT |  |  | 
 127 | 80 | 2 | CFG_ZONE_DAYLIGHT |  |  | 
 128 | 82 | 1 | CFG_ZONE_PRESENCE_LEVEL |  |  | 
 129 | 83 | 1 | CFG_ZONE_NON_PRESENCE_LEVEL |  |  | 
 130 | 84 | 1 | CFG_ZONE_ORIENTATION_LEVEL |  |  | 
 131 | 85 | 1 | CFG_ZONE_TURNON_LEVEL |  |  | 
 132 | Zone 3 |  |  |  |  | 
 133 | 86 | 1 | CFG_ZONE_COMMON_FUNC1 |  |  | 
 134 | 87 | 1 | CFG_ZONE_ONOFF_FUNC2 |  | See decription for Zone 1 | 
 135 | 88 | 1 | CFG_ZONE_DALI_FUNC1 |  |  | 
 136 | 89 | 2 | CFG_ZONE_T_OFFPIR_DELAY |  |  | 
 137 | 91 | 2 | CFG_ZONE_T_PRESENCE_DELAY |  |  | 
 138 | 93 | 2 | CFG_ZONE_T_NON_PRESENCE_DELAY |  |  | 
 139 | 95 | 2 | CFG_ZONE_T_ORIENTATION_DELAY |  |  | 
 140 | 97 | 2 | CFG_ZONE_T_ON_DELAY |  |  | 
 141 | 99 | 1 | CFG_ZONE_TYPE |  |  | 
 142 | 100 | 1 | CFG_ZONE_RESERVED |  |  | 
 143 | 101 | 2 | CFG_ZONE_DESKDAYLIGHTFACTORPCT |  |  | 
 144 | 103 | 2 | CFG_ZONE_DESKMAXARTIFICIALLIGHT |  |  | 
 145 | 105 | 2 | CFG_ZONE_V_SETPOINT |  |  | 
 146 | 107 | 2 | CFG_ZONE_DAYLIGHT |  |  | 
